2025-10-26T21:08:18.000000000Z [inf]  Starting Container
2025-10-26T21:08:19.310276684Z [inf]  
2025-10-26T21:08:19.310289492Z [inf]  > rest-express@1.0.0 start
2025-10-26T21:08:19.310296975Z [inf]  > NODE_ENV=production node dist/index.js
2025-10-26T21:08:19.310305746Z [inf]  
2025-10-26T21:08:20.130900540Z [inf]  [db] ✅ Added sslmode=no-verify to connection string for production
2025-10-26T21:08:20.130907507Z [inf]  [db] Environment: NODE_ENV=production, PORT=8080
2025-10-26T21:08:20.130915359Z [inf]  [db] Using DATABASE_URL: postgresql://***@postgres.railway.internal:5432/railway
2025-10-26T21:08:20.130922534Z [inf]  [db] Pool config: connectionTimeoutMillis=5000, ssl=enabled (rejectUnauthorized: false)
2025-10-26T21:08:20.130930568Z [inf]  [db] SSL Configuration: {"rejectUnauthorized":false}
2025-10-26T21:08:20.130939533Z [inf]  [db] Connection string includes SSL params: true
2025-10-26T21:08:20.144456512Z [inf]  [PERFORMANCE] System prompt base cached (21338 chars) - saves ~4KB per request
2025-10-26T21:08:20.144462420Z [inf]  [PLATFORM-HEALING] PROJECT_ROOT: /app
2025-10-26T21:08:20.154527708Z [inf]  [PERFORMANCE] Compression middleware enabled - responses will be 70-80% smaller
2025-10-26T21:08:20.159647204Z [inf]  📡 WebSocket server initialized at /ws
2025-10-26T21:08:20.159652339Z [inf]  [PLATFORM-HEALING] Session manager connected to WebSocket
2025-10-26T21:08:20.159657438Z [inf]  [PLATFORM-METRICS] Starting WebSocket broadcaster (5s intervals)
2025-10-26T21:08:20.172881699Z [inf]  ✅ All routes registered successfully
2025-10-26T21:08:20.172894392Z [inf]  🔍 Testing database connection...
2025-10-26T21:08:20.221971635Z [inf]  9:08:20 PM [express] serving on port 8080
2025-10-26T21:08:20.221976736Z [inf]  🌐 Server accessible at http://0.0.0.0:8080
2025-10-26T21:08:21.071832622Z [err]  }
2025-10-26T21:08:21.071850093Z [err]  ⚠️ Retry attempt 1/5 failed: {
2025-10-26T21:08:21.071856839Z [err]    code: '42P01',
2025-10-26T21:08:21.071862559Z [err]    message: 'relation "files" does not exist',
2025-10-26T21:08:21.071868106Z [err]    nextRetryIn: '1000ms'
2025-10-26T21:08:21.981308159Z [err]  ⚠️ Retry attempt 2/5 failed: {
2025-10-26T21:08:21.981314949Z [err]    code: '42P01',
2025-10-26T21:08:21.981320581Z [err]    message: 'relation "files" does not exist',
2025-10-26T21:08:21.981325024Z [err]    nextRetryIn: '2000ms'
2025-10-26T21:08:21.981330236Z [err]  }
